Format,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
ODI,2008,5,159,239,5,31.8,66.5,54,1,0,21,1,71.5
ODI,2009,8,325,385,6,54.2,84.4,107,2,1,36,3,51.7
ODI,2010,23,995,1169,20,49.8,85.1,118,7,3,90,4,48.3
ODI,2011,34,1381,1614,29,47.6,85.6,117,8,4,127,7,46.8
ODI,2012,17,1026,1094,15,68.4,93.8,183,3,5,92,7,43.6
ODI,2013,30,1268,1300,24,52.8,97.5,115,7,4,138,20,48.1
ODI,2014,20,1054,1058,18,58.6,99.6,139,5,4,94,20,43.6
ODI,2015,20,623,773,17,36.6,80.6,138,1,2,44,8,49
ODI,2016,10,739,739,8,92.4,100,154,4,3,62,8,40.2
ODI,2017,26,1460,1473,19,76.8,99.1,131,7,6,136,22,42.8
ODI,2018,14,1202,1172,9,133.6,102.6,160,3,6,123,13,41.7
ODI,2019,25,1377,1429,23,59.9,96.4,123,7,5,133,8,41.8
ODI,2020,9,431,467,9,47.9,92.3,89,5,0,35,5,41.1
ODI,2021,3,129,149,3,43,86.6,66,2,0,10,1,41.6
ODI,2022,11,302,347,11,27.5,87,113,2,1,32,2,48.1
ODI,2023,24,1377,1389,19,72.5,99.1,166,8,6,122,24,42
ODI,2024,3,58,69,3,19.3,84.1,24,0,0,8,0,53.6
ODI,2025,13,651,677,10,65.1,96.2,135,4,3,54,13,43.3
ODI,2026,3,240,228,3,80,105.3,124,1,1,20,4,35.1
,Total,298,14797,15771,251,59,93.8,183,77,54,1377,170,44.8
