Format,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
T20i,2010,1,26,21,0,,123.8,26,0,0,3,1,42.9
T20i,2011,4,61,52,4,15.3,117.3,28,0,0,10,0,42.3
T20i,2012,13,471,355,12,39.3,132.7,78,4,0,57,7,30.7
T20i,2013,1,29,22,1,29,131.8,29,0,0,2,1,31.8
T20i,2014,7,385,288,4,96.3,133.7,77,5,0,33,11,26.7
T20i,2015,2,44,28,2,22,157.1,43,0,0,1,3,7.1
T20i,2016,13,641,457,6,106.8,140.3,90,7,0,70,9,29.1
T20i,2017,10,299,196,8,37.4,152.6,82,2,0,32,8,24.5
T20i,2018,9,211,173,7,30.1,122,61,1,0,10,8,33.5
T20i,2019,10,466,315,6,77.7,147.9,94,5,0,29,23,24.4
T20i,2020,9,295,208,8,36.9,141.8,85,1,0,18,10,20.7
T20i,2021,8,299,225,4,74.8,132.9,80,4,0,25,10,30.2
T20i,2022,20,781,565,14,55.8,138.2,122,8,1,66,26,29
T20i,2024,10,180,151,10,18,119.2,76,1,0,13,7,39.7
,Total,117,4188,3056,86,48.7,137,122,38,1,369,124,28.7
